pollutant,model,RMSE,MAE,R2,Pearson_R
PM2.5,Random Forest,12.868,10.194,0.286,0.554
PM2.5,XGBoost,13.667,10.794,0.195,0.527
PM10,Random Forest,27.795,22.02,0.214,0.478
PM10,XGBoost,28.205,22.486,0.19,0.47
NO2,Random Forest,7.593,4.972,0.933,0.967
NO2,XGBoost,10.055,5.612,0.883,0.941
SO2,Random Forest,1.275,1.009,-1.3,-0.058
SO2,XGBoost,1.012,0.742,-0.448,-0.015
CO,Random Forest,0.359,0.287,0.338,0.597
CO,XGBoost,0.356,0.281,0.352,0.604
O3,Random Forest,87.672,30.393,0.998,0.999
O3,XGBoost,98.674,42.546,0.998,0.999
