latitude,longitude,acq_date,frp,satellite,confidence
23.6685,74.1357,2025-10-13,40.9,VIIRS,70
11.1715,74.0175,2025-10-22,18.2,MODIS,90
30.0302,74.8114,2025-10-22,45.9,MODIS,90
30.1814,75.4057,2025-10-22,76.8,VIIRS,100
29.8885,76.0163,2025-10-22,33.9,VIIRS,100
30.6769,74.2936,2025-10-22,13.7,VIIRS,70
30.5308,74.8118,2025-10-22,36.3,VIIRS,50
30.364,75.4129,2025-10-22,60.4,VIIRS,90
30.6246,75.8784,2025-10-22,100.0,VIIRS,70
30.6743,76.5014,2025-10-22,20.6,VIIRS,90
31.0466,74.7102,2025-10-22,22.5,VIIRS,90
30.9933,75.2035,2025-10-22,31.5,MODIS,90
30.9306,75.4179,2025-10-22,118.7,VIIRS,70
30.9039,75.9886,2025-10-22,107.8,MODIS,100
30.9392,76.4134,2025-10-22,13.6,MODIS,90
31.2738,75.1254,2025-10-22,36.8,MODIS,90
31.3916,75.6774,2025-10-22,91.0,VIIRS,90
31.6615,76.016,2025-10-22,32.6,MODIS,90
36.0978,74.7805,2025-10-22,15.7,MODIS,70
36.2194,75.3006,2025-10-22,46.3,MODIS,90
37.2971,67.849,2025-10-22,32.7,VIIRS,90
22.1274,86.7901,2025-10-23,12.8,MODIS,50
24.0048,67.953,2025-10-23,16.7,MODIS,100
25.6815,89.8327,2025-10-23,16.0,MODIS,90
29.3816,75.5476,2025-10-23,24.7,MODIS,100
30.1562,74.5206,2025-10-23,20.3,MODIS,100
30.2124,74.9984,2025-10-23,92.6,MODIS,90
29.8876,75.668,2025-10-23,115.8,VIIRS,90
30.0923,75.9853,2025-10-23,54.8,MODIS,50
30.2145,76.7259,2025-10-23,17.3,VIIRS,100
30.7047,74.6126,2025-10-23,85.1,VIIRS,50
30.6586,75.0925,2025-10-23,108.0,VIIRS,100
30.5738,75.5832,2025-10-23,308.7,VIIRS,70
30.3233,75.9128,2025-10-23,142.8,VIIRS,70
30.4498,76.5632,2025-10-23,23.6,VIIRS,70
31.1787,74.5928,2025-10-23,88.1,VIIRS,50
30.8078,75.2287,2025-10-23,140.7,VIIRS,70
30.8118,75.7229,2025-10-23,299.7,MODIS,90
30.8002,75.6658,2025-10-23,295.0,VIIRS,90
31.097,75.7896,2025-10-23,216.2,VIIRS,90
31.0095,76.513,2025-10-23,73.2,VIIRS,90
31.6714,74.369,2025-10-23,49.9,VIIRS,90
31.2902,74.8997,2025-10-23,139.8,MODIS,100
31.6227,75.3047,2025-10-23,128.5,MODIS,90
31.6321,75.8011,2025-10-23,49.1,MODIS,90
31.7007,76.2967,2025-10-23,54.1,MODIS,90
32.0097,74.7907,2025-10-23,36.7,MODIS,90
31.7886,75.3386,2025-10-23,19.6,MODIS,90
32.1312,75.9721,2025-10-23,24.1,VIIRS,100
37.476,69.0871,2025-10-23,12.7,VIIRS,70
10.4016,92.2074,2025-10-24,21.7,MODIS,100
16.0721,79.1298,2025-10-24,26.3,VIIRS,90
25.2098,70.0445,2025-10-24,11.9,MODIS,90
29.4174,75.191,2025-10-24,38.2,VIIRS,70
29.6824,75.4606,2025-10-24,48.4,MODIS,50
29.6289,75.8458,2025-10-24,44.8,MODIS,100
30.0719,74.5484,2025-10-24,19.4,MODIS,90
29.9316,74.861,2025-10-24,168.4,VIIRS,90
29.942,75.6058,2025-10-24,223.7,MODIS,100
29.9164,75.7949,2025-10-24,91.8,VIIRS,70
29.7891,76.534,2025-10-24,40.0,VIIRS,90
30.3382,74.6334,2025-10-24,85.0,VIIRS,100
30.6604,75.229,2025-10-24,103.8,MODIS,50
30.331,75.0886,2025-10-24,182.2,MODIS,90
30.4832,75.5851,2025-10-24,212.8,VIIRS,70
30.6138,75.3761,2025-10-24,227.5,MODIS,90
30.7095,76.2177,2025-10-24,125.3,MODIS,100
30.706,75.8057,2025-10-24,300.1,MODIS,90
30.4844,76.5502,2025-10-24,42.2,VIIRS,100
31.1019,74.5015,2025-10-24,54.5,VIIRS,90
31.0249,74.7832,2025-10-24,150.3,VIIRS,50
30.8484,75.0056,2025-10-24,269.0,MODIS,90
30.8606,75.4956,2025-10-24,283.8,MODIS,100
30.8409,75.3812,2025-10-24,341.7,MODIS,90
31.1292,75.6521,2025-10-24,470.7,MODIS,70
30.8549,75.9165,2025-10-24,305.0,MODIS,70
31.0078,75.7892,2025-10-24,150.2,VIIRS,90
31.2263,76.5262,2025-10-24,100.7,VIIRS,50
31.3419,74.3527,2025-10-24,49.1,VIIRS,70
31.3239,75.1331,2025-10-24,89.8,MODIS,90
31.3451,75.415,2025-10-24,72.2,VIIRS,70
31.3259,76.1071,2025-10-24,143.2,VIIRS,50
31.5604,76.3063,2025-10-24,60.7,MODIS,100
31.9055,74.8128,2025-10-24,45.4,VIIRS,50
32.0667,75.472,2025-10-24,48.2,VIIRS,70
31.9006,76.0026,2025-10-24,16.6,VIIRS,90
29.6568,74.9543,2025-10-25,20.2,MODIS,50
